ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
46147,,"1,360",580,660,"80,125"
46147,"$1 under $25,000",450,340,70,5115
46147,"$25,000 under $50,000",290,160,90,10883
46147,"$50,000 under $75,000",200,50,130,12593
46147,"$75,000 under $100,000",150,30,130,13244
46147,"$100,000 under $200,000",240,** ,220,30803
46147,"$200,000 or more",30,** ,20,7487
,,,,,
46148,,"2,300","1,000","1,040","124,057"
46148,"$1 under $25,000",830,570,140,9937
46148,"$25,000 under $50,000",550,280,170,20033
46148,"$50,000 under $75,000",340,90,210,21071
46148,"$75,000 under $100,000",230,60,190,20134
46148,"$100,000 under $200,000",300,** ,280,38211
46148,"$200,000 or more",50,** ,50,14671
,,,,,
46149,,940,380,470,"64,626"
46149,"$1 under $25,000",270,210,40,3019
46149,"$25,000 under $50,000",200,100,60,7303
46149,"$50,000 under $75,000",140,70,70,8386
46149,"$75,000 under $100,000",100,** ,90,8790
46149,"$100,000 under $200,000",190,** ,180,25401
46149,"$200,000 or more",40,** ,30,11727
,,,,,
46150,,360,160,150,"19,916"
46150,"$1 under $25,000",120,80,20,1384
46150,"$25,000 under $50,000",100,50,30,3597
46150,"$50,000 under $75,000",50,30,30,3218
46150,"$75,000 under $100,000",40,** ,30,3837
46150,"$100,000 under $200,000",50,** ,40,7880
46150,"$200,000 or more",** ,** ,** ,** 
,,,,,
46151,,"14,940","6,420","6,790","877,418"
46151,"$1 under $25,000",5320,3760,860,63587
46151,"$25,000 under $50,000",3440,1630,1140,125248
46151,"$50,000 under $75,000",2130,600,1290,131460
46151,"$75,000 under $100,000",1590,260,1250,137947
46151,"$100,000 under $200,000",2090,150,1900,276585
46151,"$200,000 or more",370,20,350,142591
,,,,,
46156,,650,270,310,"35,726"
46156,"$1 under $25,000",230,160,50,2761
46156,"$25,000 under $50,000",160,70,60,5788
46156,"$50,000 under $75,000",110,40,70,6527
46156,"$75,000 under $100,000",60,** ,50,5280
46156,"$100,000 under $200,000",90,** ,80,15370
46156,"$200,000 or more",** ,** ,** ,** 
,,,,,
46157,,"1,850",760,830,"112,764"
46157,"$1 under $25,000",570,410,80,6751
46157,"$25,000 under $50,000",430,200,110,15901
46157,"$50,000 under $75,000",290,90,170,18079
46157,"$75,000 under $100,000",220,30,180,18659
46157,"$100,000 under $200,000",290,30,250,36528
46157,"$200,000 or more",50,** ,40,16846
,,,,,
46158,,"11,830","5,070","5,240","707,247"
46158,"$1 under $25,000",3960,2820,580,46548
46158,"$25,000 under $50,000",2790,1400,790,101416
46158,"$50,000 under $75,000",1690,520,950,104356
46158,"$75,000 under $100,000",1240,190,980,107611
46158,"$100,000 under $200,000",1830,140,1640,243393
46158,"$200,000 or more",320,** ,300,103923
,,,,,
46160,,"2,950","1,190","1,440","164,145"
46160,"$1 under $25,000",1060,720,220,12422
46160,"$25,000 under $50,000",640,270,250,23260
46160,"$50,000 under $75,000",450,130,260,27526
46160,"$75,000 under $100,000",370,40,310,32006
46160,"$100,000 under $200,000",360,30,330,47530
46160,"$200,000 or more",70,** ,70,21401
,,,,,
46161,,"1,230",530,530,"69,378"
46161,"$1 under $25,000",370,270,40,4377
46161,"$25,000 under $50,000",330,160,100,12087
46161,"$50,000 under $75,000",210,60,120,12978
46161,"$75,000 under $100,000",140,40,110,11689
46161,"$100,000 under $200,000",150,** ,140,19071
46161,"$200,000 or more",30,** ,20,9176
,,,,,
46162,,250,80,140,"20,049"
46162,"$1 under $25,000",70,50,20,680
46162,"$25,000 under $50,000",50,30,** ,1591
46162,"$50,000 under $75,000",30,** ,20,2131
46162,"$75,000 under $100,000",30,** ,30,2697
