ID,District Name,Mailing Address,City,State,ZIP
9925,THE GEORGE & VERONICA PHALEN ACAD,1001 MARINA DR #410,QUINCY,IN,2171
9460,THEA BOWMAN LEADERSHIP ACADEMY,975 W 6TH AVE,GARY,IN,46402
9740,THURGOOD MARSHALL LEADERSHIP ACAD,2310 WEISSER PARK,FORT WAYNE,IN,46806
9350,TIMOTHY L JOHNSON ACADEMY,4615 WERLING DR,FORT WAYNE,IN,46806
,Tindley Collegiate Academy,4020 Meadows Parkway,Indianapolis,IN,46205
9745,TINDLEY PREPARATORY ACADEMY,3960 MEADOWS DR,INDIANAPOLIS,IN,46205
,Tindley Renaissance Academy,4010 Sherman Dr,Indianapolis,IN,46205
7865,TIPPECANOE SCHOOL CORP,21 ELSTON RD,LAFAYETTE,IN,47909
4445,TIPPECANOE VALLEY SCHOOL CORP,8343 S SR 19,AKRON,IN,46910
7945,TIPTON COMMUNITY SCHOOL CORP,221 N MAIN ST SUITE A,TIPTON,IN,46072
7935,TRI-CENTRAL COMMUNITY SCHOOLS,4774 N 200 W,SHARPSVILLE,IN,46068
8535,TRI-COUNTY SCHOOL CORP,105 N 2ND ST,WOLCOTT,IN,47995
4645,TRI-CREEK SCHOOL CORPORATION,195 W OAKLEY AVE,LOWELL,IN,46356
4915,TRI-TOWNSHIP CONS SCHOOL CORP,PO BOX 249,WANATAH,IN,46390
5495,TRITON SCHOOL CORPORATION,100 TRITON DR,BOURBON,IN,46504
8565,TWIN LAKES SCHOOL CORP,565 S MAIN ST,MONTICELLO,IN,47960
1425,TWIN RIVERS CAREER & TECH ED AREA,PO BOX 1266,VINCENNES,IN,47591
7950,UNION CO/CLG CORNER JOINT SCH DIST,107 S LAYMAN ST,LIBERTY,IN,47353
6795,UNION SCHOOL CORPORATION,8707 W US HWY 36 PO BOX 148,MODOC,IN,47358
6530,UNION TOWNSHIP SCHOOL CORP,599 W 300 N SUITE A,VALPARAISO,IN,46385
7215,UNION-NORTH UNITED SCHOOL CORP,22601 TYLER RD,LAKEVILLE,IN,46536
6560,VALPARAISO COMMUNITY SCHOOLS,3801 N CAMPBELL ST,VALPARAISO,IN,46385
9360,VERITAS ACADEMY,530 E IRELAND RD BLDG B,SOUTH BEND,IN,46614
8030,VIGO COUNTY SCHOOL CORP,PO BOX 3703,TERRE HAUTE,IN,47803
4335,VINCENNES COMMUNITY SCH CORP,1712 S QUAIL RUN RD,VINCENNES,IN,47591
2285,WA-NEE COMMUNITY SCHOOLS,1300 N MAIN ST,NAPPANEE,IN,46550
8060,WABASH CITY SCHOOLS,1101 COLERAIN ST  PO BOX 744,WABASH,IN,46992
9550,WABASH VALLEY EDUCATION CENTER,3061 BENTON ST,WEST LAFAYETTE,IN,47906
8130,WARRICK COUNTY SCHOOL CORP,PO BOX 809,BOONVILLE,IN,47601
4415,WARSAW COMMUNITY SCHOOLS,1 ADMINISTRATION DR,WARSAW,IN,46580
1405,WASHINGTON COM SCHOOLS,301 E SOUTH ST,WASHINGTON,IN,47501
4345,WAWASEE COMMUNITY SCHOOL CORP,1 WARRIOR PATH - BLDG 2,SYRACUSE,IN,46567
1885,WES-DEL COMMUNITY SCHOOLS,10290 N CR 600 W,GASTON,IN,47342
9500,WEST CENTRAL EDUCATION SERVICE CTR,PO BOX 21,GREENCASTLE,IN,46135
6630,WEST CENTRAL SCHOOL CORP,PO BOX 578,FRANCESVILLE,IN,47946
940,WEST CLARK COMMUNITY SCHOOLS,601 RENZ AVE,SELLERSBURG,IN,47172
7875,WEST LAFAYETTE COM SCHOOL CORP,1130 N SALISBURY,WEST LAFAYETTE,IN,47906
6065,WEST NOBLE SCHOOL CORPORATION,5050 N US 33,LIGONIER,IN,46767
8220,WEST WASHINGTON SCHOOL CORP,9699 W MT TABOR RD,CAMPBELLSBURG,IN,47108
615,WESTERN BOONE CO COM SCH DIST,1201 N SR 75,THORNTOWN,IN,46071
3490,WESTERN SCHOOL CORP,2600 S 600 W,RUSSIAVILLE,IN,46979
8355,WESTERN WAYNE SCHOOLS,PO BOX 217,PERSHING,IN,47370
3030,WESTFIELD-WASHINGTON SCHOOLS,322 W MAIN ST,WESTFIELD,IN,46074
4525,WESTVIEW SCHOOL CORPORATION,1545 S 600 W,TOPEKA,IN,46571
2980,WHITE RIVER VALLEY SCH DIST,PO BOX 1470,SWITZ CITY,IN,47465
4760,WHITING SCHOOL CITY,1500 CENTER ST,WHITING,IN,46394
4455,WHITKO COMMUNITY SCHOOL CORP,PO BOX 114,PIERCETON,IN,46562
8665,WHITLEY CO CONS SCHOOLS,107 N WALNUT ST,COLUMBIA CITY,IN,46725
9540,WILSON EDUCATION CTR CORP,PO BOX 217,CHARLESTOWN,IN,47111
9845,XAVIER SCHOOL OF EXCELLENCE,850 W JACKSON BLVD STE 850,CHICAGO,IN,60607
1910,YORKTOWN COMMUNITY SCHOOLS,2311 S BROADWAY ST,YORKTOWN,IN,47396
630,ZIONSVILLE COMMUNITY SCHOOLS,900 MULBERRY ST,ZIONSVILLE,IN,46077
