ZIP,City,County,Adjust Gross Income,Number of returns
47104,Bethlehem,Clark,99163,8410
47106,Borden,Clark,232042,6350
47107,Bradford,Harrison,242932,3950
47108,Campbellsburg,Washington,251518,2900
47110,Central,Harrison,644179,4740
47111,Charlestown,Clark,619847,1420
47112,Corydon,Harrison,,
47114,Crandall,Harrison,80125,1360
47115,Depauw,Harrison,5115,450
47116,Eckerty,Crawford,10883,290
47117,Elizabeth,Harrison,12593,200
47118,English,Crawford,13244,150
47119,Floyds Knobs,Floyd,30803,240
47120,Fredericksburg,Washington,7487,30
47122,Georgetown,Floyd,,
47123,Grantsburg,Crawford,124057,2300
47124,Greenville,Floyd,9937,830
47125,Hardinsburg,Washington,20033,550
47126,Henryville,Clark,21071,340
47129,Clarksville,Clark,20134,230
47130,Jeffersonville,Clark,38211,300
47131,Jeffersonville,Clark,14671,50
47132,Jeffersonville,Clark,,
47133,Jeffersonville,Clark,64626,940
47134,Jeffersonville,Clark,3019,270
47135,Laconia,Harrison,7303,200
47136,Lanesville,Harrison,8386,140
47137,Leavenworth,Crawford,8790,100
47138,Lexington,Scott,25401,190
47139,Little York,Washington,11727,40
47140,Marengo,Crawford,,
47141,Marysville,Clark,19916,360
47142,Mauckport,Harrison,1384,120
47143,Memphis,Clark,3597,100
47144,Jeffersonville,Clark,3218,50
47145,Milltown,Crawford,3837,40
47146,Mount Saint Francis,Floyd,7880,50
47147,Nabb,Clark,** ,** 
47150,New Albany,Floyd,,
47151,New Albany,Floyd,877418,14940
47160,New Middletown,Harrison,63587,5320
47161,New Salisbury,Harrison,125248,3440
47162,New Washington,Clark,131460,2130
47163,Otisco,Clark,137947,1590
47164,Palmyra,Harrison,276585,2090
47165,Pekin,Washington,142591,370
47166,Ramsey,Harrison,,
47167,Salem,Washington,35726,650
47170,Scottsburg,Scott,2761,230
47172,Sellersburg,Clark,5788,160
47174,Sulphur,Crawford,6527,110
47175,Taswell,Crawford,5280,60
47177,Underwood,Scott,15370,90
47190,Jeffersonville,Clark,** ,** 
47199,Jeffersonville,Clark,,
47201,Columbus,Bartholomew,112764,1850
47202,Columbus,Bartholomew,6751,570
47203,Columbus,Bartholomew,15901,430
47220,Brownstown,Jackson,18079,290
47223,Butlerville,Jennings,18659,220
47224,Canaan,Jefferson,36528,290
47225,Clarksburg,Decatur,16846,50
47226,Clifford,Bartholomew,,
47227,Commiskey,Jennings,707247,11830
47228,Cortland,Jackson,46548,3960
47229,Crothersville,Jackson,101416,2790
47230,Deputy,Jefferson,104356,1690
47231,Dupont,Jefferson,107611,1240
47232,Elizabethtown,Bartholomew,243393,1830
47234,Flat Rock,Shelby,103923,320
47235,Freetown,Jackson,,
47236,Grammer,Bartholomew,164145,2950
47240,Greensburg,Decatur,12422,1060
47243,Hanover,Jefferson,23260,640
47244,Hartsville,Bartholomew,27526,450
47245,Hayden,Jennings,32006,370
47246,Hope,Bartholomew,47530,360
47247,Jonesville,Bartholomew,21401,70
47249,Kurtz,Jackson,,
47250,Madison,Jefferson,69378,1230
47260,Medora,Jackson,4377,370
47261,Millhousen,Decatur,12087,330
47263,New Point,Decatur,12978,210
